organism,scientificName,originalKey,genome,taxId,db
Panda,Ailuropoda melanoleuca,Panda,9646,ailMel1
American alligator,Alligator mississippiensis,American alligator,8496,allMis1
Sea hare,Aplysia californica,Sea hare,6500,aplCal1
Brown kiwi,Apteryx australis,Brown kiwi,202946,aptMan1
Golden eagle,Aquila chrysaetos canadensis,Golden eagle,216574,aquChr2
Minke whale,Balaenoptera acutorostrata scammoni,Minke whale,310752,balAcu1
Bison,Bison bison bison,Bison,43346,bisBis1
Cow,Bos taurus,Cow,9913,bosTau9
Marmoset,Callithrix jacchus,Marmoset,9483,calJac4
Elephant shark,Callorhinchus milii,Elephant shark,7868,calMil1
Dog,Canis lupus familiaris,Dog,9615,canFam6
Guinea pig,Cavia porcellus,Guinea pig,10141,cavPor3
C. elegans,Caenorhabditis elegans,C. elegans,6239,ce6
White rhinoceros,Ceratotherium simum,White rhinoceros,73337,cerSim1
Green monkey,Chlorocebus sabaeus,Green monkey,60711,chlSab2
C. intestinalis,Ciona intestinalis,C. intestinalis,7719,ci3
Chinese hamster,Cricetulus griseus,Chinese hamster,10029,criGriChoV2
Zebrafish,Danio rerio,Zebrafish,7955,danRer7
D. melanogaster,Drosophila melanogaster,D. melanogaster,7227,dm6
Horse,Equus caballus,Horse,9796,equCab3
Hedgehog,Erinaceus europaeus,Hedgehog,9365,eriEur2
Cat,Felis catus,Cat,9685,felCat9
Atlantic cod,Gadus morhua,Atlantic cod,8049,gadMor1
Chicken,Gallus gallus,Chicken,9031,galGal6
Human,Homo sapiens,Human,9606,hg38
Coelacanth,Latimeria chalumnae,Coelacanth,7897,latCha1
Elephant,Loxodonta africana,Elephant,9785,loxAfr3
Wallaby,Macropus eugenii,Wallaby,9315,macEug2
Crab-eating macaque,Macaca fascicularis,Crab-eating macaque,9541,macFas5
Chinese pangolin,Manis pentadactyla,Chinese pangolin,143292,manPen1
Turkey,Meleagris gallopavo,Turkey,9103,melGal5
Mouse,Mus musculus,Mouse,10090,mm10
Opossum,Monodelphis domestica,Opossum,13616,monDom1
Rat,Rattus norvegicus,Rat,10116,rn7
S. cerevisiae,Saccharomyces cerevisiae,S. cerevisiae,559292,sacCer3
Pig,Sus scrofa,Pig,9823,susScr11
X. tropicalis,Xenopus tropicalis,X. tropicalis,8364,xenTro10
